customer_id,age,months_active,monthly_charges,total_charges,internet_service,contract_type,payment_method,support_tickets,churn
CUST_000001,49,9,55.41,532.58,No,Month-to-month,Electronic check,1,0
CUST_000002,39,2,44.44,49.19,Fiber,Month-to-month,Mailed check,3,0
CUST_000003,51,1,75.04,179.13,DSL,Month-to-month,Credit card,4,0
CUST_000004,64,2,30.86,30.86,DSL,Two year,Mailed check,3,0
CUST_000005,38,20,59.64,1063.05,Fiber,Month-to-month,Electronic check,1,0
CUST_000006,38,1,20.0,101.23,DSL,One year,Electronic check,2,0
CUST_000007,65,9,38.27,303.83,No,Month-to-month,Electronic check,2,0
CUST_000008,53,33,47.46,1534.44,Fiber,Two year,Bank transfer,3,0
CUST_000009,34,8,86.93,632.78,No,Two year,Credit card,1,0
CUST_000010,50,34,78.76,2630.63,Fiber,Two year,Bank transfer,2,0
CUST_000011,35,32,53.92,1865.79,Fiber,Month-to-month,Bank transfer,3,1
CUST_000012,35,6,79.59,643.77,DSL,One year,Bank transfer,4,0
CUST_000013,45,31,82.75,2744.82,Fiber,Month-to-month,Bank transfer,2,1
CUST_000014,18,33,61.79,2147.97,DSL,Month-to-month,Electronic check,2,1
CUST_000015,18,12,37.31,494.38,Fiber,One year,Credit card,0,0
CUST_000016,33,5,60.84,160.98,Fiber,Month-to-month,Electronic check,2,1
CUST_000017,26,17,63.04,1052.96,Fiber,One year,Electronic check,3,1
CUST_000018,46,61,40.35,2677.08,Fiber,Two year,Electronic check,2,0
CUST_000019,28,24,72.34,1692.62,Fiber,Two year,Electronic check,2,0
CUST_000020,20,4,70.6,433.8,DSL,Month-to-month,Mailed check,4,1
CUST_000021,63,27,73.9,2000.83,No,One year,Mailed check,1,0
CUST_000022,38,13,70.58,649.71,DSL,Month-to-month,Bank transfer,1,1
CUST_000023,43,21,79.6,1735.58,No,Month-to-month,Mailed check,0,0
CUST_000024,20,31,61.41,2030.44,Fiber,One year,Bank transfer,0,0
CUST_000025,33,17,69.04,1168.71,No,One year,Electronic check,1,0
CUST_000026,43,40,57.05,2405.11,Fiber,Two year,Credit card,2,0
